disease_id,symptom_id
D1,S1
D1,S2
D2,S3
D2,S4
D3,S5
D3,S6
D4,S1
D4,S7
D5,S1
D5,S2
D6,S7
D6,S8
D7,S9
D7,S10
D8,S11
D8,S12
D9,S7
D9,S13
D10,S11
D10,S14
D11,S15
D11,S16
D12,S6
D12,S8
D13,S17
D13,S18
D14,S7
D14,S15
D15,S1
D15,S7
D16,S19
D16,S7
D17,S1
D17,S2
D18,S2
D18,S19
D19,S19
D20,S20
D20,S7
D21,S1
D21,S11
D22,S11
D22,S21
D23,S20
D23,S7
D24,S20
D24,S7
D25,S7
D25,S21
D26,S19
D26,S7
D27,S3
D27,S19
D28,S19
D28,S11
D29,S22
D29,S23
D30,S7
D30,S24
D31,S11
D31,S25
D32,S11
D32,S26
D33,S11
D33,S27
D34,S7
D34,S11
D35,S20
D35,S28
D36,S29
D36,S30
D37,S7
D37,S15
D38,S2
D38,S31
D39,S32
D39,S33
D40,S2
D40,S20
D41,S2
D41,S34
D42,S1
D43,S2
D44,S35
D45,S3
D46,S4
D47,S19
D48,S20
D49,S5
D50,S6
D51,S36
D52,S9
D53,S7
D54,S32
D55,S37
D56,S11
D57,S26
D58,S38
D59,S39
D60,S27
D61,S12
D62,S40
D63,S41
D64,S10
D65,S42
D66,S14
D67,S34
D68,S13
D69,S24
D70,S43
D71,S44
D72,S8
D73,S15
D74,S21
D75,S45
D76,S46
D77,S47
D78,S48
D79,S17
D80,S22
D81,S49
D82,S50
D83,S51
D84,S52
D85,S53
D86,S54
D87,S55
D88,S56
D89,S57
D90,S58
D91,S59
D92,S60
D93,S61
D94,S62
D95,S63
D96,S64
D97,S65
D98,S16
D99,S18
D100,S66
D101,S23
D102,S67
D103,S68
D104,S69
D105,S28
D106,S70
D107,S25
D108,S71
D109,S72
D110,S73
D111,S74
D112,S75
D113,S76
D114,S77
D115,S78
D116,S79
D117,S80
D118,S81
D119,S82
D120,S83
D121,S84
D122,S29
D123,S30
D124,S85
D125,S86
D126,S87
D127,S88
D128,S89
D129,S90
D130,S91
D131,S33
D132,S92
D133,S93
D134,S94
D135,S95
D136,S96
D137,S97
D138,S98
D139,S99
D140,S100
D141,S101
D142,S102
D143,S103
D144,S104
D145,S105
D146,S106
D147,S107
D148,S108
D149,S109
D150,S110
D151,S111
D152,S112
D153,S113
D154,S114
D155,S115
D156,S116
D157,S117
D158,S118
D159,S119
D160,S120
D161,S121
D162,S122
D163,S31
D164,S123
D165,S124
D166,S125
D167,S126
D168,S127
D169,S128
D170,S129
D171,S130
D172,S131
D173,S132
